ID_REGISTRY|ID_STORE|ID_PRODUCT|AISLE|SHELF|STOCK
001|001|001|8|1|120
002|001|002|8|1|260
003|001|003|8|2|70
004|001|004|8|2|90
005|001|005|9|1|110
006|001|006|9|1|180
007|001|007|9|1|70
008|001|008|3|4|30
009|001|009|8|5|60
010|001|010|1|3|40
011|001|011|1|4|40
012|001|012|1|3|40
013|001|013|1|1|25
014|001|014|1|2|33
015|001|015|2|1|56
016|001|016|2|2|65
017|001|017|3|1|67
018|001|018|3|2|65
019|001|019|3|3|75
020|001|020|3|5|77
021|001|021|3|6|89
022|001|022|4|1|45
023|001|023|4|2|40
024|001|024|4|3|43
025|001|025|5|1|76
026|001|026|5|2|45
027|001|027|6|1|100
028|001|028|6|2|101
029|001|029|6|3|98
030|001|030|6|4|50
031|001|031|7|1|20
032|001|032|7|2|130
033|001|033|7|3|10
034|001|034|7|4|32
035|001|035|10|1|200
036|001|036|7|5|20
